Tool, Usage
Jest, 38
Karma, 34
Mocha, 67
Ava, 6
Tap, 7
Tape, 8
Jasmine, 14
Browserstack, 0
Chai, 39






Tool, Usage
Eslint, 90
Standard, 8
Xo, 9
Semistandard, 1
Standardx, 1






Tool, Usage
Coveralls, 33
Nyc&istanbul, 56
Codecov, 13






Tool, Usage
David-dm, 0
Snyk, 0
Greenkeeper, 0






Tool, Usage
Benchmark, 15
Matcha, 3






Tool, Usage
Chalk, 38
Prettier, 49
Packagephobia, 0
Bundlephobia, 0






Tool, Usage
Husky, 47
Rimraf, 45
Webpack, 36
Rollup, 41
Glob, 37
Sinon, 24
Uglify-js, 19
Gulp, 20
Semver, 38
Browserify, 19
Minimist, 22
Minimatch, 20






